,Jugador 1,Expansión 1,Tipo Función Ev. 1,Tiempo simulación 1,Jugador 2,Expansión 2,Tipo Función Ev. 2,Tiempo simulación 2,Partidas,Victorias 1,Victorias 2,Empates,Tiempo total,Tiempo por partida,Tiempo medio por partida Jugador 1,Tiempo por movimiento 'Elige' Jugador 1,Tiempo por movimiento 'Coloca' Jugador 1,Tiempo medio por partida Jugador 2,Tiempo por movimiento 'Elige' Jugador 2,Tiempo por movimiento 'Coloca' Jugador 2
0,Agente Aleatorio 1,,,,Agente Reglas Simples 2,,,,500,11  (2.2%),489  (97.8%),0  (0.0%),0.10136,0.00020,1.22628e-05,4.68572e-07,2.53819e-06,7.46812e-05,9.75007e-06,9.75007e-06
1,Agente Reglas Simples 1,,,,Agente Aleatorio 2,,,,500,490  (98.0%),9  (1.8%),1  (0.2%),0.09877,0.00019,7.10463e-05,6.64749e-06,9.50156e-06,1.29046e-05,2.49123e-06,2.49123e-06
2,Agente Aleatorio 1,,,,Agente Reglas Complejas 2,,,,500,5  (1.0%),495  (99.0%),0  (0.0%),0.22295,0.00044,1.18842e-05,4.56183e-07,2.57955e-06,0.00032,6.19457e-05,6.19457e-05
3,Agente Reglas Complejas 1,,,,Agente Aleatorio 2,,,,500,488  (97.6%),8  (1.6%),4  (0.8%),0.22343,0.00044,0.00032,6.63021e-06,6.87806e-05,1.26099e-05,2.51357e-06,2.51357e-06
4,Agente Reglas Simples 1,,,,Agente Reglas Complejas 2,,,,500,134  (26.8%),362  (72.4%),4  (0.8%),0.35742,0.00071,9.51781e-05,7.25730e-06,1.06201e-05,0.00047,7.68330e-05,7.68330e-05
5,Agente Reglas Complejas 1,,,,Agente Reglas Simples 2,,,,500,350  (70.0%),145  (29.0%),5  (1.0%),0.36454,0.00072,0.00049,7.45387e-06,8.56313e-05,9.82713e-05,1.06027e-05,1.06027e-05
6,Agente Reglas Complejas 1,,,,Agente MiniMax 2,2.0,1.0,,500,61  (12.2%),385  (77.0%),54  (10.8%),102.86571,0.20573,0.00075,8.36109e-06,0.00011,0.20472,0.02953,0.02953
7,Agente MiniMax 1,2.0,1.0,,Agente Reglas Complejas 2,,,,500,372  (74.4%),69  (13.8%),59  (11.8%),80.38686,0.16077,0.15983,3.51365e-06,0.02493,0.00068,9.69401e-05,9.69401e-05
8,Agente Reglas Complejas 1,,,,Agente MiniMax 2,2.0,2.0,,500,74  (14.8%),413  (82.6%),13  (2.6%),154.79607,0.30959,0.00063,8.61684e-06,0.00011,0.30865,0.05102,0.05102
9,Agente MiniMax 1,2.0,2.0,,Agente Reglas Complejas 2,,,,500,412  (82.4%),74  (14.8%),14  (2.8%),122.88223,0.24576,0.24493,6.50143e-05,0.04365,0.00063,0.00010,0.00010
10,Agente Reglas Complejas 1,,,,Agente MiniMax 2,2.0,3.0,,500,73  (14.6%),380  (76.0%),47  (9.4%),156.57153,0.31314,0.00065,8.73129e-06,0.00010,0.31227,0.04673,0.04673
11,Agente MiniMax 1,2.0,3.0,,Agente Reglas Complejas 2,,,,500,389  (77.8%),64  (12.8%),47  (9.4%),123.63667,0.24727,0.24642,6.62671e-05,0.04137,0.00063,9.65461e-05,9.65461e-05
12,Agente Reglas Complejas 1,,,,Agente AlphaBeta 2,2.0,1.0,,500,66  (13.2%),373  (74.6%),61  (12.2%),50.32810,0.10065,0.00066,8.40672e-06,0.00010,0.09977,0.01463,0.01463
13,Agente AlphaBeta 1,2.0,1.0,,Agente Reglas Complejas 2,,,,500,371  (74.2%),77  (15.4%),52  (10.4%),39.64956,0.07929,0.07836,3.50260e-06,0.01218,0.00068,9.61912e-05,9.61912e-05
14,Agente Reglas Complejas 1,,,,Agente AlphaBeta 2,2.0,2.0,,500,56  (11.2%),424  (84.8%),20  (4.0%),75.00125,0.15000,0.00063,8.65780e-06,0.00011,0.14917,0.02449,0.02449
15,Agente AlphaBeta 1,2.0,2.0,,Agente Reglas Complejas 2,,,,500,425  (85.0%),61  (12.2%),14  (2.8%),61.56232,0.12312,0.12225,6.11962e-05,0.02144,0.00068,0.00010,0.00010
16,Agente Reglas Complejas 1,,,,Agente AlphaBeta 2,2.0,3.0,,500,64  (12.8%),378  (75.6%),58  (11.6%),68.25868,0.13651,0.00067,8.67961e-06,0.00010,0.13563,0.02037,0.02037
17,Agente AlphaBeta 1,2.0,3.0,,Agente Reglas Complejas 2,,,,500,405  (81.0%),53  (10.6%),42  (8.4%),55.42575,0.11085,0.11002,5.78767e-05,0.01834,0.00062,9.44464e-05,9.44464e-05
18,Agente AlphaBeta 1,2.0,1.0,,Agente AlphaBeta 2,2.0,2.0,,500,160  (32.0%),309  (61.8%),31  (6.2%),117.66189,0.23532,0.08627,1.12812e-05,0.01286,0.14880,0.02027,0.02027
19,Agente AlphaBeta 1,2.0,2.0,,Agente AlphaBeta 2,2.0,1.0,,500,175  (35.0%),242  (48.4%),83  (16.6%),115.81556,0.23163,0.12452,5.24857e-05,0.01769,0.10686,0.01424,0.01424
20,Agente AlphaBeta 1,2.0,1.0,,Agente AlphaBeta 2,2.0,3.0,,500,162  (32.4%),269  (53.8%),69  (13.8%),114.16640,0.22833,0.08589,8.41518e-06,0.01259,0.14216,0.01927,0.01927
21,Agente AlphaBeta 1,2.0,3.0,,Agente AlphaBeta 2,2.0,1.0,,500,206  (41.2%),69  (13.8%),225  (45.0%),114.68746,0.22937,0.12267,9.31689e-05,0.01614,0.10645,0.01383,0.01383
22,Agente AlphaBeta 1,2.0,2.0,,Agente AlphaBeta 2,2.0,3.0,,500,0  (0.0%),342  (68.4%),158  (31.6%),147.39350,0.29479,0.14554,3.55708e-05,0.02245,0.14901,0.02078,0.02078
23,Agente AlphaBeta 1,2.0,3.0,,Agente AlphaBeta 2,2.0,2.0,,500,129  (25.8%),371  (74.2%),0  (0.0%),142.80793,0.28562,0.11893,4.84168e-05,0.01648,0.16643,0.02090,0.02090
24,Agente AlphaBeta 1,4.0,1.0,,Agente AlphaBeta 2,2.0,3.0,,50,17  (34.0%),25  (50.0%),8  (16.0%),626.06748,12.52135,12.36831,0.00014,1.81872,0.15277,0.02087,0.02087
25,Agente AlphaBeta 1,2.0,3.0,,Agente AlphaBeta 2,4.0,1.0,,50,21  (42.0%),8  (16.0%),21  (42.0%),961.83379,19.23668,0.27714,9.49507e-05,0.03666,18.95925,2.46221,2.46221
26,Agente AlphaBeta 1,4.0,2.0,,Agente AlphaBeta 2,2.0,3.0,,50,0  (0.0%),0  (0.0%),50  (100.0%),727.67525,14.55350,14.35888,0.00359,1.79127,0.19430,0.02425,0.02425
27,Agente AlphaBeta 1,2.0,3.0,,Agente AlphaBeta 2,4.0,2.0,,50,3  (6.0%),2  (4.0%),45  (90.0%),1037.30555,20.74611,0.29104,3.35252e-05,0.03653,20.45472,2.55297,2.55297
28,Agente Monte Carlo 1,2.0,,0.5,Agente Reglas Complejas 2,,,,25,9  (36.0%),16  (64.0%),0  (0.0%),60.71393,2.42856,2.42789,0.00014,0.51422,0.00048,8.10890e-05,8.10890e-05
29,Agente Reglas Complejas 1,,,,Agente Monte Carlo 2,2.0,,0.5,25,20  (80.0%),5  (20.0%),0  (0.0%),67.38000,2.69520,0.00116,8.64542e-06,0.00022,2.69383,0.51783,0.51783
30,Agente Monte Carlo 1,2.0,,1.0,Agente Reglas Complejas 2,,,,25,13  (52.0%),12  (48.0%),0  (0.0%),136.75626,5.47025,5.46947,0.00014,1.01272,0.00057,8.92869e-05,8.92869e-05
31,Agente Reglas Complejas 1,,,,Agente Monte Carlo 2,2.0,,1.0,25,15  (60.0%),10  (40.0%),0  (0.0%),153.28198,6.13128,0.00058,8.65570e-06,9.34043e-05,6.13048,1.01482,1.01482
32,Agente Monte Carlo 1,2.0,,3.0,Agente Reglas Complejas 2,,,,25,15  (60.0%),10  (40.0%),0  (0.0%),430.77735,17.23109,17.23026,0.00014,3.01214,0.00060,8.88366e-05,8.88366e-05
33,Agente Reglas Complejas 1,,,,Agente Monte Carlo 2,2.0,,3.0,25,10  (40.0%),15  (60.0%),0  (0.0%),497.34351,19.89374,0.00069,8.78536e-06,0.00011,19.89280,3.01391,3.01391
34,Agente Monte Carlo 1,2.0,,10.0,Agente Reglas Complejas 2,,,,25,14  (56.0%),11  (44.0%),0  (0.0%),1501.96953,60.07878,60.07766,0.00012,10.01282,0.00064,9.10374e-05,9.10374e-05
35,Agente Reglas Complejas 1,,,,Agente Monte Carlo 2,2.0,,10.0,25,10  (40.0%),15  (60.0%),0  (0.0%),1542.49853,61.69994,0.00066,9.64821e-06,0.00011,61.69853,10.01579,10.01579
36,Agente Monte Carlo 1,2.0,,0.5,Agente AlphaBeta 2,2.0,1.0,,25,6  (24.0%),19  (76.0%),0  (0.0%),69.92460,2.79698,2.68202,0.00012,0.51170,0.11473,0.01912,0.01912
37,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,2.0,,0.5,25,19  (76.0%),6  (24.0%),0  (0.0%),74.90012,2.99600,0.08869,2.66995e-06,0.01642,2.90710,0.51527,0.51527
38,Agente Monte Carlo 1,2.0,,1.0,Agente AlphaBeta 2,2.0,1.0,,25,12  (48.0%),13  (52.0%),0  (0.0%),169.67525,6.78701,6.68001,0.00011,1.01200,0.10673,0.01499,0.01499
39,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,2.0,,1.0,25,18  (72.0%),7  (28.0%),0  (0.0%),161.51161,6.46046,0.08460,2.69550e-06,0.01410,6.37560,1.01508,1.01508
40,Agente Monte Carlo 1,2.0,,3.0,Agente AlphaBeta 2,2.0,1.0,,25,10  (40.0%),15  (60.0%),0  (0.0%),505.64359,20.22574,20.11673,9.77398e-05,3.01138,0.10874,0.01493,0.01493
41,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,2.0,,3.0,25,15  (60.0%),8  (32.0%),2  (8.0%),532.59261,21.30370,0.08720,3.20646e-06,0.01297,21.21623,3.01354,3.01354
42,Agente Monte Carlo 1,2.0,,10.0,Agente AlphaBeta 2,2.0,1.0,,25,7  (28.0%),18  (72.0%),0  (0.0%),1594.98471,63.79939,63.68271,0.00012,10.01287,0.11594,0.01637,0.01637
43,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,2.0,,10.0,25,20  (80.0%),5  (20.0%),0  (0.0%),1674.62241,66.98490,0.08232,3.28789e-06,0.01270,66.90232,10.01517,10.01517
44,Agente Monte Carlo 1,2.0,,0.5,Agente AlphaBeta 2,2.0,2.0,,25,1  (4.0%),24  (96.0%),0  (0.0%),67.29378,2.69175,2.53127,0.00014,0.51432,0.16027,0.02719,0.02719
45,Agente AlphaBeta 1,2.0,2.0,,Agente Monte Carlo 2,2.0,,0.5,25,24  (96.0%),1  (4.0%),0  (0.0%),67.41358,2.69654,0.11409,7.52557e-05,0.02311,2.58226,0.52044,0.52044
46,Agente Monte Carlo 1,2.0,,1.0,Agente AlphaBeta 2,2.0,2.0,,25,4  (16.0%),21  (84.0%),0  (0.0%),143.00284,5.72011,5.55807,0.00013,1.01410,0.16181,0.02553,0.02553
47,Agente AlphaBeta 1,2.0,2.0,,Agente Monte Carlo 2,2.0,,1.0,25,20  (80.0%),5  (20.0%),0  (0.0%),134.54216,5.38169,0.13632,7.32000e-05,0.02741,5.24516,1.01630,1.01630
48,Agente Monte Carlo 1,2.0,,3.0,Agente AlphaBeta 2,2.0,2.0,,25,5  (20.0%),20  (80.0%),0  (0.0%),429.03095,17.16124,16.99340,0.00012,3.01288,0.16760,0.02594,0.02594
49,Agente AlphaBeta 1,2.0,2.0,,Agente Monte Carlo 2,2.0,,3.0,25,21  (84.0%),4  (16.0%),0  (0.0%),428.43515,17.13741,0.12705,6.21528e-05,0.02312,17.01015,3.01582,3.01582
50,Agente Monte Carlo 1,2.0,,10.0,Agente AlphaBeta 2,2.0,2.0,,25,2  (8.0%),23  (92.0%),0  (0.0%),1466.02898,58.64116,58.47439,0.00012,10.01260,0.16651,0.02456,0.02456
51,Agente AlphaBeta 1,2.0,2.0,,Agente Monte Carlo 2,2.0,,10.0,25,18  (72.0%),7  (28.0%),0  (0.0%),1655.89961,66.23598,0.13320,5.86466e-05,0.02102,66.10252,10.01537,10.01537
52,Agente Monte Carlo 1,2.0,,0.5,Agente AlphaBeta 2,2.0,3.0,,25,4  (16.0%),21  (84.0%),0  (0.0%),72.59310,2.90372,2.76692,0.00013,0.51607,0.13658,0.02195,0.02195
53,Agente AlphaBeta 1,2.0,3.0,,Agente Monte Carlo 2,2.0,,0.5,25,23  (92.0%),2  (8.0%),0  (0.0%),64.73578,2.58943,0.11273,8.13608e-05,0.02401,2.47651,0.52007,0.52007
54,Agente Monte Carlo 1,2.0,,1.0,Agente AlphaBeta 2,2.0,3.0,,25,5  (20.0%),18  (72.0%),2  (8.0%),154.58730,6.18349,6.03638,0.00012,1.01268,0.14685,0.02191,0.02191
55,Agente AlphaBeta 1,2.0,3.0,,Agente Monte Carlo 2,2.0,,1.0,25,22  (88.0%),3  (12.0%),0  (0.0%),144.34959,5.77398,0.11091,7.28652e-05,0.02031,5.66286,1.01829,1.01829
56,Agente Monte Carlo 1,2.0,,3.0,Agente AlphaBeta 2,2.0,3.0,,25,5  (20.0%),20  (80.0%),0  (0.0%),455.61868,18.22475,18.07971,0.00013,3.01314,0.14479,0.02123,0.02123
57,Agente AlphaBeta 1,2.0,3.0,,Agente Monte Carlo 2,2.0,,3.0,25,18  (72.0%),6  (24.0%),1  (4.0%),473.35481,18.93419,0.11802,6.56155e-05,0.01960,18.81593,3.01522,3.01522
58,Agente Monte Carlo 1,2.0,,10.0,Agente AlphaBeta 2,2.0,3.0,,25,5  (20.0%),17  (68.0%),3  (12.0%),1715.53628,68.62145,68.48102,0.00010,10.01174,0.14015,0.01858,0.01858
59,Agente AlphaBeta 1,2.0,3.0,,Agente Monte Carlo 2,2.0,,10.0,25,21  (84.0%),4  (16.0%),0  (0.0%),1515.46369,60.61855,0.12549,6.43114e-05,0.02128,60.49282,10.01518,10.01518
60,Agente Monte Carlo 1,4.0,,0.5,Agente AlphaBeta 2,2.0,1.0,,25,5  (20.0%),20  (80.0%),0  (0.0%),400.37375,16.01495,15.74889,0.01926,2.73135,0.26579,0.04076,0.04076
61,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,4.0,,0.5,25,17  (68.0%),8  (32.0%),0  (0.0%),572.22099,22.88884,0.40443,2.91947e-06,0.06878,22.48413,3.59677,3.59677
62,Agente Monte Carlo 1,4.0,,1.0,Agente AlphaBeta 2,2.0,1.0,,25,6  (24.0%),19  (76.0%),0  (0.0%),492.67542,19.70702,19.25119,0.01498,3.17042,0.45554,0.06699,0.06699
63,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,4.0,,1.0,25,18  (72.0%),6  (24.0%),1  (4.0%),637.41109,25.49644,0.18726,3.08759e-06,0.03020,25.30891,3.90757,3.90757
64,Agente Monte Carlo 1,4.0,,3.0,Agente AlphaBeta 2,2.0,1.0,,25,7  (28.0%),18  (72.0%),0  (0.0%),825.80350,33.03214,32.77477,0.01601,4.94812,0.25706,0.03511,0.03511
65,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,4.0,,3.0,25,17  (68.0%),8  (32.0%),0  (0.0%),979.53717,39.18149,0.10880,3.66427e-06,0.01700,39.07241,5.79003,5.79003
66,Agente Monte Carlo 1,4.0,,10.0,Agente AlphaBeta 2,2.0,1.0,,25,8  (32.0%),17  (68.0%),0  (0.0%),2004.56594,80.18264,79.71791,0.01650,11.98752,0.46443,0.06344,0.06344
67,Agente AlphaBeta 1,2.0,1.0,,Agente Monte Carlo 2,4.0,,10.0,25,15  (60.0%),10  (40.0%),0  (0.0%),2198.41992,87.93680,0.08974,2.87627e-06,0.01385,87.84676,12.74029,12.74029
